File_ID,Original_Filename,Stored_Filename,Source_Type,Raw_Storage_Path,Final_Path,Category,Cluster_ID,Summary,File_Size_KB,Row_Count,Status,Created_On,Created_By
AUDIT-260128114525,weblog.csv,1a9a15d4-9dfc-4235-abc0-b211b372359b.csv,Local Upload,./pipeline_data/processed/staging/1a9a15d4-9dfc-4235-abc0-b211b372359b.csv,./pipeline_data/processed/app_log/1a9a15d4-9dfc-4235-abc0-b211b372359b.csv,app_log,-1.0,"Total Entries: 16007. Keywords: table columns, time url, process php, chart min, 19 profile, sample ip, bootstrap, staus data, js http, 302, vendor moment, 29 nov, logout, bala, profile php, ip time, edit, 10 131, 59 04, columns ip, url staus, post process, php http, home, user, 19 js, 2017, login php, jquery min, http 200",1089.2,16007,Processed,2026-01-28 11:45:25,nileshroy
AUDIT-260128114525,Nilesh_Payslip_November  2025.pdf,,Local Upload,,Pending,Pending,,,0.0,33,Failed,2026-01-28 11:45:25,nileshroy
AUDIT-260128114525,CIDDS-001-external-week1.csv,81e79594-b7ac-486f-93d2-fcf430ebda12.csv,Local Upload,./pipeline_data/processed/staging/81e79594-b7ac-486f-93d2-fcf430ebda12.csv,./pipeline_data/processed/system_log/81e79594-b7ac-486f-93d2-fcf430ebda12.csv,system_log,-1.0,"Total Entries: 172838. Keywords: attackdescription data, tcp openstack_net, columns date, ap normal, duration proto, 57 172, flows flags, dst ip, pt packets, table, ext_server 8082, data sample, tos, addr src, 297 tcp, seen, 005, bytes flows, 2017 03, 14, class attacktype, 3057 ap, tcp ext_server, columns, 42 704, attackid, ip addr, src ip, packets bytes, sample date",21760.6,172838,Processed,2026-01-28 11:45:25,nileshroy
AUDIT-260128114525,NILESH ROY FINAL CV-20251208143247.pdf,,Local Upload,,Pending,Pending,,,0.0,56,Failed,2026-01-28 11:45:25,nileshroy
AUDIT-260128114525,Apache_2k.log,f4b91728-8636-472b-a4f9-22f965610496.log,Local Upload,./pipeline_data/processed/staging/f4b91728-8636-472b-a4f9-22f965610496.log,./pipeline_data/processed/app_log/f4b91728-8636-472b-a4f9-22f965610496.log,app_log,-1.0,"Total Entries: 2000. Keywords: notice jk2_init, child workerenv, scoreboard slot, error state, httpd conf, 2005 notice, index forbidden, 57 19, mod_jk child, html sun, client 218, rule var, child init, workers2 properties, directory, ok, www, workerenv error, 04 13, state 10, 14 01, 2005 error, error mod_jk, conf workers2, init sun, jk2_init child, 46 2005, notice workerenv, notice, mon dec",167.23,2000,Processed,2026-01-28 11:45:25,nileshroy
AUDIT-260128124535,1a9a15d4-9dfc-4235-abc0-b211b372359b.csv,47001a9a-b426-4108-9371-53c32d95cecf.csv,Local Upload,./pipeline_data/processed/staging/47001a9a-b426-4108-9371-53c32d95cecf.csv,./pipeline_data/processed/app_log/47001a9a-b426-4108-9371-53c32d95cecf.csv,app_log,-1.0,"Total Entries: 16007. Keywords: table columns, time url, process php, chart min, 19 profile, sample ip, bootstrap, staus data, js http, 302, vendor moment, 29 nov, logout, bala, profile php, ip time, edit, 10 131, 59 04, columns ip, url staus, post process, php http, home, user, 19 js, 2017, login php, jquery min, http 200",1089.2,16007,Processed,2026-01-28 12:45:35,nileshroy
AUDIT-260128124535,f4b91728-8636-472b-a4f9-22f965610496.log,e2568bab-02d2-4e88-b50b-73fa43b57848.log,Local Upload,./pipeline_data/processed/staging/e2568bab-02d2-4e88-b50b-73fa43b57848.log,./pipeline_data/processed/app_log/e2568bab-02d2-4e88-b50b-73fa43b57848.log,app_log,-1.0,"Total Entries: 2000. Keywords: notice jk2_init, child workerenv, scoreboard slot, error state, httpd conf, 2005 notice, index forbidden, 57 19, mod_jk child, html sun, client 218, rule var, child init, workers2 properties, directory, ok, www, workerenv error, 04 13, state 10, 14 01, 2005 error, error mod_jk, conf workers2, init sun, jk2_init child, 46 2005, notice workerenv, notice, mon dec",167.23,2000,Processed,2026-01-28 12:45:35,nileshroy
AUDIT-260128124535,81e79594-b7ac-486f-93d2-fcf430ebda12.csv,a96e1533-8adf-46cb-99ae-e7e051d9eb15.csv,Local Upload,./pipeline_data/processed/staging/a96e1533-8adf-46cb-99ae-e7e051d9eb15.csv,./pipeline_data/processed/system_log/a96e1533-8adf-46cb-99ae-e7e051d9eb15.csv,system_log,-1.0,"Total Entries: 172838. Keywords: attackdescription data, tcp openstack_net, columns date, ap normal, duration proto, 57 172, flows flags, dst ip, pt packets, table, ext_server 8082, data sample, tos, addr src, 297 tcp, seen, 005, bytes flows, 2017 03, 14, class attacktype, 3057 ap, tcp ext_server, columns, 42 704, attackid, ip addr, src ip, packets bytes, sample date",21760.6,172838,Processed,2026-01-28 12:45:35,nileshroy
AUDIT-260130112726,a96e1533-8adf-46cb-99ae-e7e051d9eb15.csv,70008e84-beb3-4580-b02e-627721c1154c.csv,Local Upload,./pipeline_data/processed/staging/70008e84-beb3-4580-b02e-627721c1154c.csv,./pipeline_data/processed/system_log/70008e84-beb3-4580-b02e-627721c1154c.csv,system_log,-1.0,"Total Entries: 172838. Keywords: attackdescription data, tcp openstack_net, columns date, ap normal, duration proto, 57 172, flows flags, dst ip, pt packets, table, ext_server 8082, data sample, tos, addr src, 297 tcp, seen, 005, bytes flows, 2017 03, 14, class attacktype, 3057 ap, tcp ext_server, columns, 42 704, attackid, ip addr, src ip, packets bytes, sample date",21760.6,172838,Processed,2026-01-30 11:27:26,nileshroy
AUDIT-260130112726,e2568bab-02d2-4e88-b50b-73fa43b57848.log,8b4ae3a7-ab4a-42c0-aed8-7fef940ff068.log,Local Upload,./pipeline_data/processed/staging/8b4ae3a7-ab4a-42c0-aed8-7fef940ff068.log,./pipeline_data/processed/app_log/8b4ae3a7-ab4a-42c0-aed8-7fef940ff068.log,app_log,-1.0,"Total Entries: 2000. Keywords: notice jk2_init, child workerenv, scoreboard slot, error state, httpd conf, 2005 notice, index forbidden, 57 19, mod_jk child, html sun, client 218, rule var, child init, workers2 properties, directory, ok, www, workerenv error, 04 13, state 10, 14 01, 2005 error, error mod_jk, conf workers2, init sun, jk2_init child, 46 2005, notice workerenv, notice, mon dec",167.23,2000,Processed,2026-01-30 11:27:26,nileshroy
